,Company_Brand,Sector,Stage,Amount($),City,HeadQuarter,What_it_does,Year,Founded,Founders,Investor
0,TheCollegeFever,Energy,Seed,250000.0,Bangalore,"Bangalore, Karnataka, India","TheCollegeFever is a hub for fun, fiesta and frolic of Colleges.",2018,2016.0,Mumbai Angels Network,Undisclosed
1,Happy Cow Dairy,Agriculture,Seed,585960.0,Mumbai,"Mumbai, Maharashtra, India",A startup which aggregates milk from dairy farmers in rural Maharashtra.,2018,2016.0,Abhay Rangan,Undisclosed
2,MyLoanCare,Finance,Series A,952185.0,Gurgaon,"Gurgaon, Haryana, India",Leading Online Loans Marketplace in India,2018,2016.0,"Ashneer Grover, Shashvat Nakrani",Undisclosed
3,PayMe India,Finance,Angel,2000000.0,Noida,"Noida, Uttar Pradesh, India",PayMe India is an innovative FinTech organization which offers short term financial suport to corporate employees.,2018,2016.0,"Ashneer Grover, Shashvat Nakrani",Undisclosed
4,Eunimart,Education,Seed,3000000.0,Hyderabad,"Hyderabad, Andhra Pradesh, India",Eunimart is a one stop solution for merchants to create a difference by selling globally.,2018,2016.0,"Saurabh Saxena, Pulkit Jain, Anand Prakash, Vamsi Krishna",Undisclosed
5,Hasura,Energy,Seed,1600000.0,Bengaluru,"Bengaluru, Karnataka, India","Hasura is a platform that allows developers to build, deploy, and host cloud-native applications quickly.",2018,2016.0,Mumbai Angels Network,Undisclosed
6,Tripshelf,Energy,Seed,234384.0,Kalkaji,"Kalkaji, Delhi, India",Tripshelf is an online market place for holiday packages.,2018,2016.0,Mumbai Angels Network,Undisclosed
7,Hyperdata.IO,Energy,Angel,732450.0,Hyderabad,"Hyderabad, Andhra Pradesh, India",Hyperdata combines advanced machine learning with human intelligence.,2018,2016.0,Mumbai Angels Network,Undisclosed
8,Freightwalla,Energy,Seed,3000000.0,Mumbai,"Mumbai, Maharashtra, India",Freightwalla is an international forwarder thats helps you manage supply chain by providing online tools including instant quotations.,2018,2016.0,Mumbai Angels Network,Undisclosed
9,Microchip Payments,Finance,Seed,3000000.0,Bangalore,"Bangalore, Karnataka, India",Microchip payments is a mobile-based payment application and point-of-sale device,2018,2016.0,"Ashneer Grover, Shashvat Nakrani",Undisclosed
10,BizCrum Infotech Pvt. Ltd.,Energy,Seed,3000000.0,Delhi,"Delhi, Delhi, India",Building Transactionary B2B Marketplaces,2018,2016.0,Mumbai Angels Network,Undisclosed
11,Emojifi,Energy,Seed,3000000.0,Bengaluru,"Bengaluru, Karnataka, India","Emojifi is an app that provides live emoji, stickers & GIFs suggestions based on the typed words across chat platforms.",2018,2016.0,Mumbai Angels Network,Undisclosed
12,Flock,Energy,Seed,3000000.0,India,"India, Asia",Flock is a real-time messaging and collaboration app for teams that speeds up and simplifies communication and boosts productivity.,2018,2016.0,Mumbai Angels Network,Undisclosed
13,Freshboxx,Energy,Seed,3000000.0,Hubli,"Hubli, Karnataka, India","Freshboxx is incubated at Sandbox Startups, a unit of the Deshpande Foundation.",2018,2016.0,Mumbai Angels Network,Undisclosed
14,Wide Mobility Mechatronics,Energy,Seed,3000000.0,Bangalore,"Bangalore, Karnataka, India",Wide Mobility Mechatronics is a Private Company limited by Shares,2018,2016.0,Mumbai Angels Network,Undisclosed
15,Pitstop,Energy,Seed,1464900.0,Bengaluru,"Bengaluru, Karnataka, India",Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,2018,2016.0,Mumbai Angels Network,Undisclosed
16,Mihuru,Finance,Seed,150000.0,Mumbai,"Mumbai, Maharashtra, India",Mihuru is an online platform which gives micro loans for air travel .,2018,2016.0,"Ashneer Grover, Shashvat Nakrani",Undisclosed
17,Fyle,Finance,Seed,1100000.0,Bengaluru,"Bengaluru, Karnataka, India",Fyle is an intelligent expense management platform for enterprises.,2018,2016.0,"Ashneer Grover, Shashvat Nakrani",Undisclosed
18,AppWharf,Energy,Seed,3000000.0,New Delhi,"New Delhi, Delhi, India",Appwharf is an intelligent assistant that helps find you the best-fit SaaS for your business.,2018,2016.0,Mumbai Angels Network,Undisclosed
19,Antariksh Waste Ventures Pvt ltd,Energy,Seed,7324.5,Chennai,"Chennai, Tamil Nadu, India",Waste Management for Smart Cities,2018,2016.0,Mumbai Angels Network,Undisclosed
20,Cogoport,Energy,Series A,6000000.0,Mumbai,"Mumbai, Maharashtra, India",Cogoport is a platform that provides freight buying industry with spot rates and bidding process for freight buyers.,2018,2016.0,Mumbai Angels Network,Undisclosed
21,PaisaDukan,Finance,Seed,650000.0,Mumbai,"Mumbai, Maharashtra, India",A P2P lending marketplace platform,2018,2016.0,"Ashneer Grover, Shashvat Nakrani",Undisclosed
22,Sleepy Owl Coffee,Energy,Seed,512715.0,New Delhi,"New Delhi, Delhi, India","Makers of a signature coffee that's exceptional in taste. It's super easy to brew, requires no equipment & ships to your door.",2018,2016.0,Mumbai Angels Network,Undisclosed
23,BlueJack,Energy,Seed,937536.0,Delhi,"Delhi, Delhi, India",Delhi-based online used vehicles marketplace.,2018,2016.0,Mumbai Angels Network,Undisclosed
24,PregBuddy,Healthcare,Seed,3000000.0,Bengaluru,"Bengaluru, Karnataka, India",PregBuddy is a smart connected care platform for expecting mothers.,2018,2016.0,Ashish Rawat,Undisclosed
25,AgNext Technologies,Agriculture,Series A,3000000.0,Mohali,"Mohali, Punjab, India",AgNext is an agricultural sensing and solutions company focused on building data-driven solutions for agricultural stakeholders,2018,2016.0,Abhay Rangan,Undisclosed
